t,r,r_hold,vel_r_measured,v_r,v_theta,vel_theta,v_z,vel_z
31.390115833997697,6.731339811652589,6.635995593425598,0.6094389780836463,-0.6999999880790249,-1.5,-1.6935368690378299,0.0,-0.0008006289717741311
31.451062267999077,6.699252540449439,6.593069211138138,0.6079541419445756,-0.6999999880790364,-1.5,-1.694230064923935,0.0,-0.0008256814326159656
31.48455540299983,6.6672174556412855,6.569594708974431,0.6081692267037399,-0.6999999880790451,-1.5,-1.6948765245421151,0.0,-0.0009305760031566024
31.545424595999066,6.635108890458415,6.526978914564676,0.6103213125585425,-0.6999999880790515,-1.5,-1.6956546437188524,0.0,-0.0010384384077042341
31.60582140399856,6.602630669614694,6.484680884431737,0.6143638823042896,-0.6999999880790564,-1.5,-1.6966297311926828,0.0,-0.0011669356608763337
31.63767947499946,6.569761379514613,6.462405007812191,0.619378694084598,-0.69999998807906,-1.5,-1.6977389598789865,0.0,-0.0013448901008814573
31.70146509999904,6.536759355226021,6.417723411817134,0.6250273593381517,-0.6999999880790628,-1.5,-1.699001721731815,0.0,-0.0013981759548187256
31.732809072000236,6.503670010460853,6.395813030873127,0.6289357801915303,-0.6999999880790648,-1.5,-1.7003326272626358,0.0,-0.0012415250530466437
31.796009014000447,6.46978512174823,6.351717729995952,0.6322655217395277,-0.6999999880790664,-1.5,-1.701782704325907,0.0,-0.0011058676755055785
31.857065058000444,6.4361990840712675,6.31041214050242,0.6369313864121092,-0.6749999970197642,-1.5,-1.703021074584568,0.0,-0.0011263707419857383
31.887847107998823,6.4024600372442935,6.290152633386968,0.6413109080551378,-0.6562500037252876,-1.5,-1.7043985728387052,0.0,-0.0010120711522176862
31.949218100999133,6.366895863405794,6.250774418222652,0.6451509963917343,-0.6421875087544302,-1.5,-1.7062624624386764,0.0,-0.0010970535222440958
32.01291166399824,6.332696542277507,6.210654591285277,0.6496983883995924,-0.6316406375262871,-1.5,-1.7074368017045245,0.0,-0.0010348840150982141
32.04446545599785,6.298235373428318,6.1908418023557426,0.6523961824123046,-0.6237304841051798,-1.5,-1.7089301519313576,0.0,-0.0009793509962037206
32.10122368700104,6.263814049085992,6.155761410119091,0.6547724205631744,-0.6177978690393493,-1.5,-1.710493961860644,0.0,-0.0009353716159239411
